psgc_reg,psgc_prov,psgc_mun,psgc_brgy,brgy_name
10000000,12800000,12801000,12801001,ADAMS (POB.)
10000000,12800000,12802000,12802001,BANI
10000000,12800000,12802000,12802002,BUYON
10000000,12800000,12802000,12802003,CABARUAN
10000000,12800000,12802000,12802004,CABULALAAN
10000000,12800000,12802000,12802005,CABUSLIGAN
10000000,12800000,12802000,12802006,CADARATAN
10000000,12800000,12802000,12802007,CALIOET-LIBONG
10000000,12800000,12802000,12802008,CASILIAN
10000000,12800000,12802000,12802009,COROCOR
10000000,12800000,12802000,12802011,DURIPES
10000000,12800000,12802000,12802012,GANAGAN
10000000,12800000,12802000,12802013,LIBTONG
10000000,12800000,12802000,12802014,MACUPIT
10000000,12800000,12802000,12802015,NAMBARAN
10000000,12800000,12802000,12802016,NATBA
10000000,12800000,12802000,12802017,PANINAAN
10000000,12800000,12802000,12802018,PASIOCAN
10000000,12800000,12802000,12802019,PASNGAL
10000000,12800000,12802000,12802020,PIPIAS
10000000,12800000,12802000,12802021,PULANGI
10000000,12800000,12802000,12802022,PUNGTO
10000000,12800000,12802000,12802024,SAN AGUSTIN I (POB.)
10000000,12800000,12802000,12802025,SAN AGUSTIN II (POB.)
10000000,12800000,12802000,12802027,SAN ANDRES I (POB.)
10000000,12800000,12802000,12802028,SAN ANDRES II (POB.)
10000000,12800000,12802000,12802030,SAN GABRIEL I (POB.)
10000000,12800000,12802000,12802031,SAN GABRIEL II (POB.)
10000000,12800000,12802000,12802033,SAN PEDRO I (POB.)
10000000,12800000,12802000,12802034,SAN PEDRO II (POB.)
10000000,12800000,12802000,12802036,SAN ROQUE I (POB.)
10000000,12800000,12802000,12802037,SAN ROQUE II (POB.)
10000000,12800000,12802000,12802039,SAN SIMON I (POB.)
10000000,12800000,12802000,12802040,SAN SIMON II (POB.)
10000000,12800000,12802000,12802041,SAN VICENTE (POB.)
10000000,12800000,12802000,12802042,SANGIL
10000000,12800000,12802000,12802044,SANTA FILOMENA I (POB.)
