psgc_reg,reg_name,region
10000000,REGION I (ILOCOS REGION),I
20000000,REGION II (CAGAYAN VALLEY),II
30000000,REGION III (CENTRAL LUZON),III
40000000,REGION IV-A (CALABARZON),IV-A
50000000,REGION V (BICOL REGION),V
60000000,REGION VI (WESTERN VISAYAS),VI
70000000,REGION VII (CENTRAL VISAYAS),VII
80000000,REGION VIII (EASTERN VISAYAS),VIII
90000000,REGION IX (ZAMBOANGA PENINSULA),IX
100000000,REGION X (NORTHERN MINDANAO),X
110000000,REGION XI (DAVAO REGION),XI
120000000,REGION XII (SOCCSKSARGEN),XII
130000000,NATIONAL CAPITAL REGION (NCR),NCR
140000000,CORDILLERA ADMINISTRATIVE REGION (CAR),CAR
150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),BARMM
160000000,REGION XIII (Caraga),Caraga
170000000,REGION IV-B MIMAROPA REGION,IV-B
